1996/01	172270000000000000000000000000	28711666666666666666666666666.66667
1996/02	1452687000000000000000000000000	96845800000000000000000000000.00000
1996/03	1309432000000000000000000000000	77025411764705882352941176470.58824
1996/04	1951654000000000000000000000000	81318916666666666666666666666.66667
1996/05	9340712000000000000000000000000	345952296296296296296296296296.29630
1996/06	2343300000000000000000000000000	167378571428571428571428571428.57143
1996/07	14175500000000000000000000000000	746078947368421052631578947368.42105
1996/08	46212470000000000000000000000000	1444139687500000000000000000000.00000
1996/09	530900000000000000000000000000	35393333333333333333333333333.33333
1996/10	9818563000000000000000000000000	516766473684210526315789473684.21053
1996/11	37559640000000000000000000000000	1502385600000000000000000000000.00000
1996/12	15642370000000000000000000000000	319232040816326530612244897959.18367
1997/01	1951440000000000000000000000000	81310000000000000000000000000.00000
1997/02	25064190000000000000000000000000	696227500000000000000000000000.00000
1997/03	6462960000000000000000000000000	293770909090909090909090909090.90909
1997/04	51608270000000000000000000000000	1323288974358974358974358974358.97436
1997/05	24242330000000000000000000000000	606058250000000000000000000000.00000
1997/06	6351250000000000000000000000000	167138157894736842105263157894.73684
1997/07	19439230000000000000000000000000	462838809523809523809523809523.80952
1997/08	8367470000000000000000000000000	199225476190476190476190476190.47619
1997/09	74155500000000000000000000000000	1300973684210526315789473684210.52632
1997/10	118121625000000000000000000000000	2147665909090909090909090909090.90909
1997/11	202257500000000000000000000000000	3548377192982456140350877192982.45614
1997/12	40672000000000000000000000000000	813440000000000000000000000000.00000
1998/01	88731280000000000000000000000000	1386426250000000000000000000000.00000
1998/02	34493200000000000000000000000000	453857894736842105263157894736.84211
1998/03	584802200000000000000000000000000	8860639393939393939393939393939.39394
1998/04	990409700000000000000000000000000	11790591666666666666666666666666.66667
1998/05	1118886980000000000000000000000000	11188869800000000000000000000000.00000
1998/06	490184550000000000000000000000000	4901845500000000000000000000000.00000
1998/10	52398700000000000000000000000000	1871382142857142857142857142857.14286
1998/11	561359430000000000000000000000000	5728157448979591836734693877551.02041
1998/12	173234470000000000000000000000000	2165430875000000000000000000000.00000
1999/02	39255020000000000000000000000000	613359687500000000000000000000.00000
1999/03	67155510000000000000000000000000	729951195652173913043478260869.56522
1999/04	356298800000000000000000000000000	3125428070175438596491228070175.43860
1999/05	413742200000000000000000000000000	3536258119658119658119658119658.11966
1999/06	826517150000000000000000000000000	5473623509933774834437086092715.23179
1999/07	432450500000000000000000000000000	2845069078947368421052631578947.36842
1999/08	428638900000000000000000000000000	3272052671755725190839694656488.54962
1999/09	546222900000000000000000000000000	4590108403361344537815126050420.16807
1999/10	224205500000000000000000000000000	2463796703296703296703296703296.70330
1999/11	131704840000000000000000000000000	1317048400000000000000000000000.00000
1999/12	220668510000000000000000000000000	2101604857142857142857142857142.85714
2000/01	247127520000000000000000000000000	2331391698113207547169811320754.71698
2000/02	374359100000000000000000000000000	3068517213114754098360655737704.91803
2000/03	448714700000000000000000000000000	2932775816993464052287581699346.40523
2000/04	322923941000000000000000000000000	2522843289062500000000000000000.00000
2000/05	1097203000000000000000000000000000	7893546762589928057553956834532.37410
2000/06	736875000000000000000000000000000	5226063829787234042553191489361.70213
2000/07	828565500000000000000000000000000	6324927480916030534351145038167.93893
2000/08	457453490000000000000000000000000	2951312838709677419354838709677.41935
2000/09	544690900000000000000000000000000	3918639568345323741007194244604.31655
2000/10	582235500000000000000000000000000	5545100000000000000000000000000.00000
2000/11	1940453200000000000000000000000000	13475369444444444444444444444444.44444
2000/12	399211800000000000000000000000000	3838575000000000000000000000000.00000
2001/01	696762490000000000000000000000000	5758367685950413223140495867768.59504
2001/02	278669400000000000000000000000000	2964568085106382978723404255319.14894
2001/03	337430390000000000000000000000000	2032713192771084337349397590361.44578
2001/04	3169668740000000000000000000000000	23654244328358208955223880597014.92537
2001/05	606361800000000000000000000000000	3789761250000000000000000000000.00000
2001/06	626540800000000000000000000000000	4933392125984251968503937007874.01575
2001/07	159121800000000000000000000000000	2486278125000000000000000000000.00000
2001/08	403042300000000000000000000000000	3224338400000000000000000000000.00000
2001/09	1231687430000000000000000000000000	7038213885714285714285714285714.28571
2001/10	1025945600000000000000000000000000	6534685350318471337579617834394.90446
2001/11	1113771600000000000000000000000000	12950832558139534883720930232558.13953
2001/12	1578677900000000000000000000000000	13155649166666666666666666666666.66667
2002/01	1436828810000000000000000000000000	12603761491228070175438596491228.07018
2002/02	270053500000000000000000000000000	3462224358974358974358974358974.35897
2002/03	1490710660000000000000000000000000	9259072422360248447204968944099.37888
2002/04	3359052400000000000000000000000000	21532387179487179487179487179487.17949
2002/05	914608100000000000000000000000000	6579914388489208633093525179856.11511
2002/06	365754200000000000000000000000000	4063935555555555555555555555555.55556
2002/07	2666498132000000000000000000000000	19899239791044776119402985074626.86567
2002/08	1869264800000000000000000000000000	12981005555555555555555555555555.55556
2002/09	454737600000000000000000000000000	3114641095890410958904109589041.09589
2002/10	1274118500000000000000000000000000	8064041139240506329113924050632.91139
2002/11	673500200000000000000000000000000	6943301030927835051546391752577.31959
2002/12	476833800000000000000000000000000	6811911428571428571428571428571.42857
2003/01	451625400000000000000000000000000	3763545000000000000000000000000.00000
